EC	Gene	Nuccore	Virus
402	UL34	NC_001806.2	HHV1
403	UL35	NC_001806.2	HHV1
404	UL36	NC_001806.2	HHV1
405	UL37	NC_001806.2	HHV1
406	UL38	NC_001806.2	HHV1
407	UL39	NC_001806.2	HHV1
408	UL40	NC_001806.2	HHV1
409	UL41	NC_001806.2	HHV1
410	UL42	NC_001806.2	HHV1
411	UL43	NC_001806.2	HHV1
412	UL44	NC_001806.2	HHV1
413	UL45	NC_001806.2	HHV1
414	UL46	NC_001806.2	HHV1
415	UL47	NC_001806.2	HHV1
416	UL48	NC_001806.2	HHV1
417	UL49	NC_001806.2	HHV1
418	UL49A	NC_001806.2	HHV1
419	UL50	NC_001806.2	HHV1
420	UL51	NC_001806.2	HHV1
421	UL52	NC_001806.2	HHV1
422	UL53	NC_001806.2	HHV1
423	UL54	NC_001806.2	HHV1
424	UL55	NC_001806.2	HHV1
425	UL56	NC_001806.2	HHV1
426	RL2	NC_001806.2	HHV1
427	RL1	NC_001806.2	HHV1
428	RS1	NC_001806.2	HHV1
429	US1	NC_001806.2	HHV1
430	US2	NC_001806.2	HHV1
431	US3	NC_001806.2	HHV1
432	US4	NC_001806.2	HHV1
433	US5	NC_001806.2	HHV1
434	US6	NC_001806.2	HHV1
435	US7	NC_001806.2	HHV1
436	US8	NC_001806.2	HHV1
437	US8	NC_001806.2	HHV1
438	US9	NC_001806.2	HHV1
439	US10	NC_001806.2	HHV1
440	US11	NC_001806.2	HHV1
441	US12	NC_001806.2	HHV1
442	RS1	NC_001806.2	HHV1
443	ORF0	NC_001348.1	HHV3
444	ORF1	NC_001348.1	HHV3
445	ORF2	NC_001348.1	HHV3
446	ORF3	NC_001348.1	HHV3
447	ORF4	NC_001348.1	HHV3
448	ORF5	NC_001348.1	HHV3
449	ORF6	NC_001348.1	HHV3
450	ORF7	NC_001348.1	HHV3
451	ORF8	NC_001348.1	HHV3
452	ORF9A	NC_001348.1	HHV3
453	ORF9	NC_001348.1	HHV3
454	ORF10	NC_001348.1	HHV3
455	ORF11	NC_001348.1	HHV3
456	ORF12	NC_001348.1	HHV3
457	ORF13	NC_001348.1	HHV3
458	ORF14	NC_001348.1	HHV3
459	ORF15	NC_001348.1	HHV3
460	ORF16	NC_001348.1	HHV3
461	ORF17	NC_001348.1	HHV3
462	ORF18	NC_001348.1	HHV3
463	ORF19	NC_001348.1	HHV3
464	ORF20	NC_001348.1	HHV3
465	ORF21	NC_001348.1	HHV3
466	ORF22	NC_001348.1	HHV3
467	ORF23	NC_001348.1	HHV3
468	ORF24	NC_001348.1	HHV3
469	ORF25	NC_001348.1	HHV3
470	ORF26	NC_001348.1	HHV3
471	ORF27	NC_001348.1	HHV3
472	ORF28	NC_001348.1	HHV3
473	ORF29	NC_001348.1	HHV3
474	ORF30	NC_001348.1	HHV3
475	ORF31	NC_001348.1	HHV3
476	ORF32	NC_001348.1	HHV3
477	ORF33	NC_001348.1	HHV3
478	ORF33.5	NC_001348.1	HHV3
479	ORF34	NC_001348.1	HHV3
480	ORF35	NC_001348.1	HHV3
481	ORF36	NC_001348.1	HHV3
482	ORF37	NC_001348.1	HHV3
483	ORF38	NC_001348.1	HHV3
484	ORF39	NC_001348.1	HHV3
485	ORF40	NC_001348.1	HHV3
486	ORF41	NC_001348.1	HHV3
487	ORF42	NC_001348.1	HHV3
488	ORF43	NC_001348.1	HHV3
489	ORF44	NC_001348.1	HHV3
490	ORF46	NC_001348.1	HHV3
491	ORF47	NC_001348.1	HHV3
492	ORF48	NC_001348.1	HHV3
493	ORF49	NC_001348.1	HHV3
494	ORF50	NC_001348.1	HHV3
495	ORF51	NC_001348.1	HHV3
496	ORF52	NC_001348.1	HHV3
497	ORF53	NC_001348.1	HHV3
498	ORF54	NC_001348.1	HHV3
499	ORF55	NC_001348.1	HHV3
500	ORF56	NC_001348.1	HHV3
501	ORF57	NC_001348.1	HHV3
502	ORF58	NC_001348.1	HHV3
503	ORF59	NC_001348.1	HHV3
504	ORF60	NC_001348.1	HHV3
505	ORF61	NC_001348.1	HHV3
506	ORF62	NC_001348.1	HHV3
507	ORF63	NC_001348.1	HHV3
508	ORF64	NC_001348.1	HHV3
509	ORF65	NC_001348.1	HHV3
510	ORF66	NC_001348.1	HHV3
511	ORF67	NC_001348.1	HHV3
512	ORF68	NC_001348.1	HHV3
513	ORF64	NC_001348.1	HHV3
514	ORF63	NC_001348.1	HHV3
515	ORF62	NC_001348.1	HHV3
516	AAV2gp01	NC_001401.2	AAV2
517	AAV2gp02	NC_001401.2	AAV2
518	AAV2gp03	NC_001401.2	AAV2
519	AAV2gp04	NC_001401.2	AAV2
520	AAV2gp05	NC_001401.2	AAV2
521	AAV2gp06	NC_001401.2	AAV2
522	AAV2gp06	NC_001401.2	AAV2
523	AAV2gp07	NC_001401.2	AAV2
524	Xgene	NC_001401.2	AAV2
525	Jvgp1	NC_001699.1	Jcpolyomavirus
526	Jvgp2	NC_001699.1	Jcpolyomavirus
527	Jvgp3	NC_001699.1	Jcpolyomavirus
528	Jvgp4	NC_001699.1	Jcpolyomavirus
529	Jvgp5	NC_001699.1	Jcpolyomavirus
530	Jvgp6	[NC_001699.1	Jcpolyomavirus
531	H1	U43400.1	HHV7
532	DR1	U43400.1	HHV7
533	DR2	U43400.1	HHV7
534	H2	U43400.1	HHV7
535	DR6	U43400.1	HHV7
536	DR7	U43400.1	HHV7
537	H3	U43400.1	HHV7
538	H4	U43400.1	HHV7
539	U2	U43400.1	HHV7
540	U3	U43400.1	HHV7
541	U4	U43400.1	HHV7
542	U5/7	U43400.1	HHV7
543	U8	U43400.1	HHV7
544	U10	U43400.1	HHV7
545	U11	U43400.1	HHV7
546	U12	U43400.1	HHV7
547	U13	U43400.1	HHV7
548	U14	U43400.1	HHV7
549	U15	U43400.1	HHV7
550	U17Ex	U43400.1	HHV7
551	U17	U43400.1	HHV7
552	U17a	U43400.1	HHV7
553	U18	U43400.1	HHV7
554	U19	U43400.1	HHV7
555	U20	U43400.1	HHV7
556	U21	U43400.1	HHV7
557	U23	U43400.1	HHV7
558	U24	U43400.1	HHV7
559	U24a	U43400.1	HHV7
560	U25	U43400.1	HHV7
561	U26	U43400.1	HHV7
562	U27	U43400.1	HHV7
563	U28	U43400.1	HHV7
564	U29	U43400.1	HHV7
565	U30	U43400.1	HHV7
566	U31	U43400.1	HHV7
567	U32	U43400.1	HHV7
568	U33	U43400.1	HHV7
569	U34	U43400.1	HHV7
570	U35	U43400.1	HHV7
571	U36	U43400.1	HHV7
572	U37	U43400.1	HHV7
573	U38	U43400.1	HHV7
574	U39	U43400.1	HHV7
